Date,Open,High,Low,Close,Adj Close,Volume
2011-09-01,11613.30,11716.84,10597.14,10913.38,.00,4396520000
2011-10-01,10912.10,12284.31,10404.49,11955.01,.00,3907730000
2011-11-01,11951.53,12187.51,11231.43,12045.68,.00,3263110000
2011-12-01,12046.21,12328.47,11735.19,12217.56,.00,3071480000
2012-01-01,12221.19,12841.95,12221.19,12632.91,.00,2981080000
2012-02-01,12632.76,13055.75,12632.76,12952.07,.00,2712170000
2012-03-01,12952.29,13289.08,12734.86,13212.04,.00,3203390000
2012-04-01,13211.36,13297.11,12710.56,13213.63,.00,2574900000
2012-05-01,13214.16,13338.66,12311.56,12393.45,.00,3050000000
2012-06-01,12391.56,12898.94,12035.09,12880.09,.00,2923670000
2012-07-01,12879.71,13128.64,12492.25,13008.68,.00,2578110000
2012-08-01,13007.47,13330.76,12778.90,13090.84,.00,2267280000
2012-09-01,13092.15,13653.24,12977.09,13437.13,.00,2701270000
2012-10-01,13437.66,13661.87,13017.37,13096.46,.00,2472600000
2012-11-01,13099.19,13290.75,12471.49,13025.58,.00,2683930000
2012-12-01,13027.73,13365.86,12883.89,13104.14,.00,2666750000
2013-01-01,13104.30,13969.99,13104.30,13860.58,.00,2786680000
2013-02-01,13860.58,14149.15,13784.01,14054.49,.00,2487580000
2013-03-01,14054.49,14585.10,13937.60,14578.54,.00,2546320000
2013-04-01,14578.54,14887.51,14434.43,14839.80,.00,2920230000
2013-05-01,14839.80,15542.40,14687.05,15115.57,.00,2771510000
2013-06-01,15123.55,15340.09,14551.27,14909.60,.00,2929040000
2013-07-01,14911.60,15634.32,14858.93,15499.54,.00,2623130000
2013-08-01,15503.85,15658.43,14760.41,14810.31,.00,2327660000
2013-09-01,14801.55,15709.58,14777.48,15129.67,.00,2371540000
2013-10-01,15132.49,15721.00,14719.43,15545.75,.00,2206620000
2013-11-01,15558.01,16174.51,15522.18,16086.41,.00,1820260000
2013-12-01,16087.12,16588.25,15703.79,16576.66,.00,2057160000
2014-01-01,16572.17,16573.07,15617.55,15698.85,.00,2177040000
2014-02-01,15697.69,16398.95,15340.69,16321.71,.00,2067820000
2014-03-01,16321.71,16505.70,16046.99,16457.66,.00,2095940000
2014-04-01,16458.05,16631.63,16015.32,16580.84,.00,1986960000
2014-05-01,16580.26,16735.51,16341.30,16717.17,.00,1643160000
2014-06-01,16716.85,16978.02,16673.65,16826.60,.00,1755480000
2014-07-01,16828.53,17151.56,16563.30,16563.30,.00,1690880000
2014-08-01,16561.70,17153.80,16333.78,17098.45,.00,1482600000
2014-09-01,17097.42,17350.64,16934.43,17042.90,.00,1870550000
2014-10-01,17040.46,17395.54,15855.12,17390.52,.00,2903240000
2014-11-01,17390.90,17894.83,17278.36,17828.24,.00,1516490000
2014-12-01,17827.27,18103.45,17067.59,17823.07,.00,2216900000
2015-01-01,17823.07,17951.78,17136.30,17164.95,.00,2173260000
2015-02-01,17169.99,18244.38,17037.76,18132.70,.00,1751250000
2015-03-01,18134.05,18288.63,17579.27,17776.12,.00,2470480000
2015-04-01,17778.52,18175.56,17585.01,17840.52,.00,2174880000
2015-05-01,17859.27,18351.36,17733.12,18010.68,.00,1832450000
2015-06-01,18017.82,18188.81,17576.50,17619.51,.00,2219240000
2015-07-01,17638.12,18137.12,17399.17,17689.86,.00,2034220000
2015-08-01,17696.74,17704.76,15370.33,16528.03,.00,2726340000
2015-09-01,16528.03,16933.43,15942.37,16284.70,.00,2724080000
2015-10-01,16278.62,17799.96,16013.66,17663.54,.00,2605470000
2015-11-01,17672.62,17977.85,17210.43,17719.92,.00,2334610000
2015-12-01,17719.72,17901.58,17116.73,17425.03,.00,2521440000
2016-01-01,17405.48,17405.48,15450.56,16466.30,.00,2844080000
2016-02-01,16453.63,16795.98,15503.01,16516.50,.00,2491810000
2016-03-01,16545.67,17790.11,16545.67,17685.09,.00,2407750000
2016-04-01,17661.74,18167.63,17484.23,17773.64,.00,2096650000
2016-05-01,17783.78,17934.61,17331.07,17787.20,.00,1879010000
2016-06-01,17754.55,18016.00,17063.08,17929.99,.00,2350020000
2016-07-01,17924.24,18622.01,17713.45,18432.24,.00,1816520000
2016-08-01,18434.50,18722.61,18247.79,18400.88,.00,1695750000
2016-09-01,18396.57,18551.54,17992.21,18308.15,.00,2101120000
2016-10-01,18279.60,18399.96,17959.95,18142.42,.00,1793690000
2016-11-01,18158.24,19225.29,17883.56,19123.58,.00,2107770000
2016-12-01,19149.20,19987.63,19138.79,19762.60,.00,5952470000
2017-01-01,19872.86,20125.58,19677.94,19864.09,.00,6482900000
2017-02-01,19923.81,20851.33,19831.09,20812.24,.00,6185580000
2017-03-01,20957.29,21169.11,20412.80,20663.22,.00,6941970000
2017-04-01,20665.17,21070.90,20379.55,20940.51,.00,5392630000
2017-05-01,20962.73,21112.32,20553.45,21008.65,.00,6613570000
2017-06-01,21030.55,21535.03,20994.22,21349.63,.00,7214590000
2017-07-01,21392.30,21929.80,21279.30,21891.12,.00,5569720000
2017-08-01,21961.42,22179.11,21600.34,21948.10,.00,6150060000
2017-09-01,21981.77,22419.51,21709.63,22405.09,.00,6342130000
2017-10-01,22423.47,23485.25,22416.00,23377.24,.00,7302910000
2017-11-01,23442.90,24327.82,23242.75,24272.35,.00,7335640000
2017-12-01,24305.40,24876.07,23921.90,24719.22,.00,6589890000
2018-01-01,24809.35,26616.71,24741.70,26149.39,.00,9116920000
2018-02-01,26083.04,26306.70,23360.29,25029.20,.00,9450250000
2018-03-01,25024.04,25449.15,23509.06,24103.11,.00,8873040000
2018-04-01,24076.60,24858.97,23344.52,24163.15,.00,8064550000
2018-05-01,24117.29,25086.49,23531.31,24415.84,.00,7278020000
2018-06-01,24542.09,25402.83,23997.21,24271.41,.00,7411110000
2018-07-01,24161.53,25587.24,24077.56,25415.19,.00,5408500000
2018-08-01,25461.63,26167.94,24965.77,25964.82,.00,5635410000
2018-09-01,25916.07,26769.16,25754.32,26458.31,.00,5262500000
2018-10-01,26598.36,26951.81,24122.23,25115.76,.00,8373350000
2018-11-01,25142.08,26277.82,24268.74,25538.46,.00,7226940000
2018-12-01,25779.57,25980.21,21712.53,23327.46,.00,8101540000
2019-01-01,23058.61,25109.62,22638.41,24999.67,.00,7189200000
2019-02-01,25025.31,26241.42,24883.04,25916.00,.00,5434540000
2019-03-01,26019.67,26155.98,25208.00,25928.68,.00,6637700000
2019-04-01,26075.10,26695.96,26062.59,26592.91,.00,5854600000
2019-05-01,26639.06,26689.39,24809.51,24815.04,.00,6358230000
2019-06-01,24830.16,26907.37,24680.57,26599.96,.00,5544390000
2019-07-01,26805.86,27398.68,26616.21,26864.27,.00,5207470000
2019-08-01,26879.86,27175.59,25339.60,26403.28,.00,6196080000
2019-09-01,26198.26,27306.73,25978.22,26916.83,.00,5045520000
2019-10-01,26962.54,27204.36,25743.46,27046.23,.00,5660960000
2019-11-01,27142.95,28174.97,27142.95,28051.41,.00,4925180000
2019-12-01,28109.74,28701.66,27325.13,28538.44,.00,5086880000
2020-01-01,28638.97,29373.62,28169.53,28256.03,.00,6170770000
2020-02-01,28319.65,29568.57,24681.01,25409.36,.00,6991990000
2020-03-01,25590.51,27102.34,18213.65,21917.16,.00,15521140000
2020-04-01,21227.38,24764.77,20735.02,24345.72,.00,9805160000
2020-05-01,24120.78,25758.79,22789.62,25383.11,.00,7940630000
2020-06-01,25342.99,27580.21,24843.18,25812.88,.00,9710480000
2020-07-01,25879.38,27071.33,25523.51,26428.32,.00,8210370000
2020-08-01,26542.32,28733.35,26534.38,28430.05,.00,7452360000
2020-09-01,28439.61,29199.35,26537.01,27781.70,.00,9973920000
2020-10-01,27940.63,28957.90,26143.77,26501.60,.00,8439930000
2020-11-01,26691.28,30116.51,26691.28,29638.64,.00,7872380000
2020-12-01,29797.50,30637.47,29599.29,30606.48,.00,8098310000
2021-01-01,30627.47,31272.22,29856.30,29982.62,.00,8168770000
2021-02-01,30054.73,32009.64,30014.97,30932.37,.00,6713920000
2021-03-01,31065.90,33259.00,30547.53,32981.55,.00,9687630000
2021-04-01,33054.58,34256.75,32985.35,33874.85,.00,6810740000
2021-05-01,33904.89,35091.56,33473.80,34529.45,.00,6543360000
2021-06-01,34584.19,34849.32,33271.93,34502.51,.00,6739760000
2021-07-01,34507.32,35171.52,33741.76,34935.47,.00,6646570000
2021-08-01,34968.56,35610.57,34714.33,35351.87,.00,2434518282
