Date,Open,High,Low,Close,Adj Close,Volume
2004-09-13,10306.65,10348.39,10228.64,10284.46,.00,1062240000
2004-09-20,10283.87,10283.87,10031.16,10047.24,.00,1113270000
2004-09-27,10046.65,10198.62,9977.92,10192.65,.00,1294100000
2004-10-04,10191.40,10270.37,10036.32,10055.20,.00,1213550000
2004-10-11,10056.09,10127.17,9875.13,9933.38,.00,1236040000
2004-10-18,9932.98,10020.55,9753.02,9757.81,.00,1295000000
2004-10-25,9757.22,10044.95,9708.40,10027.47,.00,1280780000
2004-11-01,10028.73,10416.67,10010.15,10387.54,.00,1660850000
2004-11-08,10385.15,10539.60,10361.44,10539.01,.00,1364090000
2004-11-15,10541.89,10602.85,10438.58,10456.91,.00,1316320000
2004-11-22,10455.73,10543.29,10432.01,10522.23,.00,790770000
2004-11-29,10520.64,10643.05,10417.08,10592.21,.00,1424860000
2004-12-06,10591.32,10591.99,10418.63,10543.22,.00,1245420000
2004-12-13,10543.44,10739.33,10543.21,10649.92,.00,1779120000
2004-12-20,10652.14,10864.67,10652.07,10827.12,.00,1039710000
2004-12-27,10828.01,10868.07,10773.92,10783.01,.00,790190000
2005-01-03,10783.75,10867.39,10571.74,10603.96,.00,1344070000
2005-01-10,10603.44,10663.74,10485.73,10558.00,.00,1358940000
2005-01-18,10554.23,10628.94,10390.85,10392.99,.00,1028420000
2005-01-24,10393.58,10531.99,10368.61,10427.20,.00,1395440000
2005-01-31,10428.76,10723.89,10428.76,10716.13,.00,1336990000
2005-02-07,10715.76,10829.19,10660.42,10796.01,.00,1290300000
2005-02-14,10795.72,10853.43,10730.32,10785.22,.00,1307330000
2005-02-22,10783.38,10845.60,10608.98,10841.60,.00,1113880000
2005-02-28,10842.05,10962.42,10730.47,10940.55,.00,1245010000
2005-03-07,10940.55,10984.46,10758.55,10774.36,.00,1170150000
2005-03-14,10773.92,10838.65,10557.04,10629.67,.00,1513210000
2005-03-21,10629.90,10630.49,10430.53,10442.87,.00,1128850000
2005-03-28,10444.13,10568.93,10381.02,10404.30,.00,1369910000
2005-04-04,10401.71,10557.11,10356.71,10461.34,.00,1287510000
2005-04-11,10462.08,10529.77,10076.57,10087.51,.00,1455780000
2005-04-18,10088.54,10219.34,10000.46,10157.71,.00,1472180000
2005-04-25,10158.52,10263.60,10048.12,10192.51,.00,1317960000
2005-05-02,10192.00,10405.77,10188.07,10345.40,.00,1259430000
2005-05-09,10345.40,10384.86,10075.55,10140.12,.00,1162650000
2005-05-16,10139.61,10499.26,10138.28,10471.91,.00,1199530000
2005-05-23,10472.80,10560.81,10426.39,10542.55,.00,980610000
2005-05-31,10541.89,10586.37,10448.41,10460.97,.00,883320000
2005-06-06,10461.64,10578.84,10430.97,10512.63,.00,1006910000
2005-06-13,10503.57,10656.29,10474.38,10623.07,.00,1209630000
2005-06-20,10621.54,10646.24,10297.84,10297.84,.00,1207430000
2005-06-27,10298.07,10433.79,10253.49,10303.44,.00,1191600000
2005-07-05,10303.13,10462.26,10175.40,10449.14,.00,997400000
